"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"
5,D,4.503931e+001,1.025771e+001,5.320000e+002,7.540000e+002,462,3.789281e-001,6.336099e+002,9.321547e+001,1.912842e+001,6.238090e-001,1.363737e+002,1.632035e+000,1.331079e+000,7.060088e-001
5,E,2.924630e-001,1.025771e+001,1.340000e+002,2.000000e+000,3,2.726030e-001,2.325673e+002,5.308660e+001,1.168660e+001,4.504505e-001,2.100000e+001,6.666667e-001,1.435142e+000,6.383323e-001
5,F,4.776896e+000,1.025771e+001,1.380000e+002,1.240000e+002,49,3.567076e-001,9.863578e+002,1.011450e+002,2.073150e+001,6.475346e-001,1.252323e+002,2.530612e+000,1.584962e+000,6.877308e-001
5,G,2.339704e+000,1.025771e+001,1.070000e+002,2.400000e+001,24,2.975496e-001,4.651347e+002,8.016833e+001,1.793471e+001,3.115079e-001,7.365104e+001,1.000000e+000,1.699087e+000,6.279067e-001
5,H,3.022118e+000,1.025771e+001,1.080000e+002,4.300000e+001,31,3.789379e-001,6.869205e+002,9.004411e+001,1.818268e+001,4.594304e-001,1.350081e+002,1.387097e+000,1.406507e+000,7.031832e-001
5,I,3.714280e+001,1.025771e+001,4.800000e+002,6.870000e+002,381,3.209272e-001,6.748719e+002,8.715635e+001,1.519319e+001,6.182364e-001,1.128227e+002,1.803150e+000,1.360840e+000,6.997263e-001
5,J,2.534680e+000,1.025771e+001,1.500000e+002,1.600000e+001,26,2.165842e-001,2.742923e+002,5.797027e+001,1.270937e+001,3.335461e-001,2.884615e+001,6.153846e-001,1.995746e+000,5.334515e-001
5,K,1.267340e+000,1.025771e+001,4.600000e+001,4.700000e+001,13,4.413695e-001,1.272318e+003,1.087200e+002,2.205548e+001,4.201560e-001,1.464888e+002,3.615385e+000,1.425914e+000,6.498541e-001
5,L,3.509556e+000,1.025771e+001,2.030000e+002,6.100000e+001,36,4.148955e-001,5.110911e+002,1.005245e+002,3.104873e+001,7.155812e-001,1.537194e+002,1.694444e+000,1.413129e+000,6.943201e-001
5,M,3.119606e+000,1.025771e+001,2.540000e+002,2.100000e+001,32,2.266469e-001,3.681083e+002,6.435665e+001,1.211130e+001,3.049140e-001,3.373542e+001,6.562500e-001,2.045205e+000,5.221102e-001
